Filename,Hotspot-cluster,minimum,maximum,average,density
0176_MWIR.jpg,2,5.668327,10.161831,8.365295161,5%
0177_MWIR.jpg,4,6.17757,10.648685,8.688448212,4%
0178_MWIR.jpg,5,5.892708,9.966404,8.285007407,4%
0179_MWIR.jpg,5,5.892708,9.966404,8.285007407,4%
0180_MWIR.jpg,7,6.481911,10.298405,8.813348113,5%
0222_MWIR.jpg,5,5.892708,9.966404,8.285007407,4%
0226_MWIR.jpg,8,5.953812,10.259403,8.508454897,4%
0227_MWIR.jpg,9,5.749981,10.532063,8.511770709,5%
0228_MWIR.jpg,6,5.872322,10.395832,8.48809205,4%
0229_MWIR.jpg,8,5.953812,10.259403,8.508454897,4%
0230_MWIR.jpg,3,5.851948,10.454243,8.4797312,3%
0291_MWIR.jpg,5,5.892708,9.966404,8.285007407,3%
0292_MWIR.jpg,9,5.749981,10.532063,8.511770709,3%
0293_MWIR.jpg,4,6.17757,10.648685,8.688448212,2%
0294_MWIR.jpg,4,6.17757,10.648685,8.688448212,4%
0295_MWIR.jpg,2,5.668327,10.161831,8.365295161,3%
0296_MWIR.jpg,7,6.481911,10.298405,8.813348113,3%
0308_MWIR.jpg,3,5.851948,10.454243,8.4797312,4%
0309_MWIR.jpg,6,5.872322,10.395832,8.48809205,4%
0311_MWIR.jpg,8,5.953812,10.259403,8.508454897,3%
0312_MWIR.jpg,3,5.851948,10.454243,8.4797312,3%
0313_MWIR.jpg,7,6.481911,10.298405,8.813348113,3%
0314_MWIR.jpg,7,6.481911,10.298405,8.813348113,3%
0315_MWIR.jpg,2,5.668327,10.161831,8.365295161,3%
0316_MWIR.jpg,6,5.872322,10.395832,8.48809205,4%
0317_MWIR.jpg,3,5.851948,10.454243,8.4797312,2%
0318_MWIR.jpg,8,5.953812,10.259403,8.508454897,3%
0319_MWIR.jpg,4,6.17757,10.648685,8.688448212,3%
0320_MWIR.jpg,3,5.851948,10.454243,8.4797312,3%
0321_MWIR.jpg,4,6.17757,10.648685,8.688448212,3%
0322_MWIR.jpg,1,5.647915,10.454243,8.571759833,3%
0323_MWIR.jpg,5,5.892708,9.966404,8.285007407,3%
0324_MWIR.jpg,6,5.872322,10.395832,8.48809205,4%
0325_MWIR.jpg,5,5.892708,9.966404,8.285007407,3%
0326_MWIR.jpg,3,5.851948,10.454243,8.4797312,3%
0327_MWIR.jpg,6,5.872322,10.395832,8.48809205,3%
0328_MWIR.jpg,7,6.481911,10.298405,8.813348113,3%
